% 1. Title: Zoo database
% 
% 2. Source Information
%    -- Creator: Richard Forsyth
%    -- Donor: Richard S. Forsyth 
%              8 Grosvenor Avenue
%              Mapperley Park
%              Nottingham NG3 5DX
%              0602-621676
%    -- Date: 5/15/1990
%  
@relation zoo

@attribute "animal name:      Unique for each instance" numeric
@attribute "hair		Boolean" numeric
@attribute "feathers		Boolean" numeric
@attribute "eggs		Boolean" numeric
@attribute "milk		Boolean" numeric
@attribute "airborne		Boolean" numeric
@attribute "aquatic		Boolean" numeric
@attribute "predator		Boolean" numeric
@attribute "toothed		Boolean" numeric
@attribute "backbone		Boolean" numeric
@attribute "breathes		Boolean" numeric
@attribute "venomous		Boolean" numeric
@attribute "fins		Boolean" numeric
@attribute "legs		Numeric (set of values: {" numeric
@attribute "tail		Boolean" numeric
@attribute "domestic		Boolean" numeric
@attribute "catsize		Boolean" numeric
@attribute class {aardvark,antelope,bass,bear,boar,buffalo,calf,carp,catfish,cavy,cheetah,chicken,chub,clam,crab,crayfish,crow,deer,dogfish,dolphin,dove,duck,elephant,flamingo,flea,frog,fruitbat,giraffe,girl,gnat,goat,gorilla,gull,haddock,hamster,hare,hawk,herring,honeybee,housefly,kiwi,ladybird,lark,leopard,lion,lobster,lynx,mink,mole,mongoose,moth,newt,octopus,opossum,oryx,ostrich,parakeet,penguin,pheasant,pike,piranha,pitviper,platypus,polecat,pony,porpoise,puma,pussycat,raccoon,reindeer,rhea,scorpion,seahorse,seal,sealion,seasnake,seawasp,skimmer,skua,slowworm,slug,sole,sparrow,squirrel,starfish,stingray,swan,termite,toad,tortoise,tuatara,tuna,vampire,vole,vulture,wallaby,wasp,wolf,worm,wren}

@data
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,aardvark
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,antelope
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,bass
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,bear
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,boar
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,buffalo
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,calf
4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,carp
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,catfish
1,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,cavy
1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,cheetah
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,chicken
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,chub
7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,clam
7,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,crab
7,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,crayfish
2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,crow
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,deer
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,dogfish
1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,dolphin
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,dove
2,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,duck
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,elephant
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,flamingo
6,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,flea
5,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,frog
